goos: darwin
goarch: arm64
pkg: luabench
cpu: Apple M1 Pro
BenchmarkStandard/towers/shopify-10           	     199	   6076028 ns/op	  986404 B/op	   49061 allocs/op
BenchmarkStandard/towers/shopify-10           	     198	   6042566 ns/op	  986405 B/op	   49061 allocs/op
BenchmarkStandard/towers/shopify-10           	     192	   6137720 ns/op	  986408 B/op	   49061 allocs/op
BenchmarkStandard/towers/shopify-10           	     198	   6033940 ns/op	  986406 B/op	   49061 allocs/op
BenchmarkStandard/towers/shopify-10           	     199	   6026502 ns/op	  986407 B/op	   49061 allocs/op
BenchmarkStandard/towers/shopify-10           	     198	   6013076 ns/op	  986403 B/op	   49061 allocs/op
BenchmarkStandard/binary-trees/luart-10       	       5	 242121383 ns/op	170659737 B/op	 2649196 allocs/op
BenchmarkStandard/binary-trees/luart-10       	       5	 244887708 ns/op	170659691 B/op	 2649196 allocs/op
BenchmarkStandard/binary-trees/luart-10       	       5	 248721617 ns/op	170659601 B/op	 2649195 allocs/op
BenchmarkStandard/binary-trees/luart-10       	       5	 247503317 ns/op	170659753 B/op	 2649198 allocs/op
BenchmarkStandard/binary-trees/luart-10       	       5	 245714875 ns/op	170659537 B/op	 2649194 allocs/op
BenchmarkStandard/binary-trees/luart-10       	       5	 244066125 ns/op	170659737 B/op	 2649196 allocs/op
BenchmarkStandard/binary-trees/luart-jit-10   	       5	 220902892 ns/op	170773788 B/op	 2649236 allocs/op
BenchmarkStandard/binary-trees/luart-jit-10   	       5	 231929358 ns/op	170810379 B/op	 2649242 allocs/op
BenchmarkStandard/binary-trees/luart-jit-10   	       5	 219440808 ns/op	170684504 B/op	 2649221 allocs/op
BenchmarkStandard/binary-trees/luart-jit-10   	       5	 222335267 ns/op	170810356 B/op	 2649237 allocs/op
BenchmarkStandard/binary-trees/luart-jit-10   	       5	 223939575 ns/op	170691897 B/op	 2649223 allocs/op
BenchmarkStandard/binary-trees/luart-jit-10   	       5	 223645908 ns/op	170684657 B/op	 2649224 allocs/op
BenchmarkStandard/binary-trees/shopify-10     	       4	 328348594 ns/op	235302076 B/op	 6919562 allocs/op
BenchmarkStandard/binary-trees/shopify-10     	       4	 322745406 ns/op	235301856 B/op	 6919560 allocs/op
BenchmarkStandard/binary-trees/shopify-10     	       4	 329862177 ns/op	235301530 B/op	 6919557 allocs/op
BenchmarkStandard/binary-trees/shopify-10     	       4	 324714094 ns/op	235301544 B/op	 6919556 allocs/op
BenchmarkStandard/binary-trees/shopify-10     	       4	 326448073 ns/op	235301398 B/op	 6919556 allocs/op
BenchmarkStandard/binary-trees/shopify-10     	       4	 329811615 ns/op	235301408 B/op	 6919556 allocs/op
BenchmarkStandard/fannkuch-redux/luart-10     	       4	 270806719 ns/op	    3440 B/op	      19 allocs/op
BenchmarkStandard/fannkuch-redux/luart-10     	       4	 271913156 ns/op	    3440 B/op	      19 allocs/op
BenchmarkStandard/fannkuch-redux/luart-10     	       4	 274963208 ns/op	    3440 B/op	      19 allocs/op
BenchmarkStandard/fannkuch-redux/luart-10     	       4	 274856375 ns/op	    3440 B/op	      19 allocs/op
BenchmarkStandard/fannkuch-redux/luart-10     	       4	 271495750 ns/op	    3440 B/op	      19 allocs/op
BenchmarkStandard/fannkuch-redux/luart-10     	       4	 272672031 ns/op	    3440 B/op	      19 allocs/op
BenchmarkStandard/fannkuch-redux/luart-jit-10 	      12	  97494160 ns/op	   11270 B/op	      24 allocs/op
BenchmarkStandard/fannkuch-redux/luart-jit-10 	      12	  97795799 ns/op	   11270 B/op	      24 allocs/op
BenchmarkStandard/fannkuch-redux/luart-jit-10 	      12	  97634240 ns/op	   11270 B/op	      24 allocs/op
BenchmarkStandard/fannkuch-redux/luart-jit-10 	      12	  98691306 ns/op	   11270 B/op	      24 allocs/op
BenchmarkStandard/fannkuch-redux/luart-jit-10 	      12	  97663719 ns/op	   11270 B/op	      24 allocs/op
BenchmarkStandard/fannkuch-redux/luart-jit-10 	      12	  97635368 ns/op	   11270 B/op	      24 allocs/op
BenchmarkStandard/fannkuch-redux/shopify-10   	       3	 471405180 ns/op	128202690 B/op	16025022 allocs/op
BenchmarkStandard/fannkuch-redux/shopify-10   	       3	 477822250 ns/op	128202866 B/op	16025024 allocs/op
BenchmarkStandard/fannkuch-redux/shopify-10   	       3	 471726875 ns/op	128202722 B/op	16025022 allocs/op
BenchmarkStandard/fannkuch-redux/shopify-10   	       3	 470383278 ns/op	128202616 B/op	16025021 allocs/op
BenchmarkStandard/fannkuch-redux/shopify-10   	       3	 468979333 ns/op	128202733 B/op	16025023 allocs/op
BenchmarkStandard/fannkuch-redux/shopify-10   	       3	 470111958 ns/op	128202786 B/op	16025023 allocs/op
BenchmarkStandard/spectral-norm/luart-10      	      12	  97412684 ns/op	   28682 B/op	      31 allocs/op
BenchmarkStandard/spectral-norm/luart-10      	      12	  97540733 ns/op	   28682 B/op	      31 allocs/op
BenchmarkStandard/spectral-norm/luart-10      	      12	  97512222 ns/op	   28682 B/op	      31 allocs/op
BenchmarkStandard/spectral-norm/luart-10      	      12	  97186288 ns/op	   28682 B/op	      31 allocs/op
BenchmarkStandard/spectral-norm/luart-10      	      12	  96755403 ns/op	   28682 B/op	      31 allocs/op
BenchmarkStandard/spectral-norm/luart-10      	      12	  98140854 ns/op	   28682 B/op	      31 allocs/op
BenchmarkStandard/spectral-norm/luart-jit-10  	      33	  33565850 ns/op	   31972 B/op	      37 allocs/op
BenchmarkStandard/spectral-norm/luart-jit-10  	      34	  33738433 ns/op	   31863 B/op	      37 allocs/op
BenchmarkStandard/spectral-norm/luart-jit-10  	      34	  33732853 ns/op	   31863 B/op	      37 allocs/op
BenchmarkStandard/spectral-norm/luart-jit-10  	      34	  33617942 ns/op	   31863 B/op	      37 allocs/op
BenchmarkStandard/spectral-norm/luart-jit-10  	      34	  33905331 ns/op	   31863 B/op	      37 allocs/op
BenchmarkStandard/spectral-norm/luart-jit-10  	      34	  33518250 ns/op	   31863 B/op	      37 allocs/op
BenchmarkStandard/spectral-norm/shopify-10    	       4	 268077344 ns/op	141099100 B/op	17633670 allocs/op
BenchmarkStandard/spectral-norm/shopify-10    	       4	 256190188 ns/op	141099220 B/op	17633671 allocs/op
BenchmarkStandard/spectral-norm/shopify-10    	       4	 257595552 ns/op	141098976 B/op	17633669 allocs/op
BenchmarkStandard/spectral-norm/shopify-10    	       4	 258710302 ns/op	141099108 B/op	17633670 allocs/op
BenchmarkStandard/spectral-norm/shopify-10    	       4	 256838500 ns/op	141099036 B/op	17633670 allocs/op
BenchmarkStandard/spectral-norm/shopify-10    	       4	 255419114 ns/op	141098900 B/op	17633668 allocs/op
BenchmarkSuite/fib/go-10                      	    4648	    260303 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/fib/go-10                      	    4677	    258150 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/fib/go-10                      	    4675	    257919 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/fib/go-10                      	    4688	    259136 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/fib/go-10                      	    4413	    258002 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/fib/go-10                      	    4693	    258663 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/fib/luart-10                   	     144	   8340906 ns/op	      34 B/op	       0 allocs/op
BenchmarkSuite/fib/luart-10                   	     144	   8330233 ns/op	      34 B/op	       0 allocs/op
BenchmarkSuite/fib/luart-10                   	     144	   8313965 ns/op	      34 B/op	       0 allocs/op
BenchmarkSuite/fib/luart-10                   	     144	   8316404 ns/op	      34 B/op	       0 allocs/op
BenchmarkSuite/fib/luart-10                   	     142	   8340467 ns/op	      34 B/op	       0 allocs/op
BenchmarkSuite/fib/luart-10                   	     140	   8452621 ns/op	      35 B/op	       0 allocs/op
BenchmarkSuite/fib/luart-jit-10               	     426	   2802952 ns/op	      74 B/op	       0 allocs/op
BenchmarkSuite/fib/luart-jit-10               	     429	   2820471 ns/op	      73 B/op	       0 allocs/op
BenchmarkSuite/fib/luart-jit-10               	     427	   2793932 ns/op	      73 B/op	       0 allocs/op
BenchmarkSuite/fib/luart-jit-10               	     430	   2778724 ns/op	      73 B/op	       0 allocs/op
BenchmarkSuite/fib/luart-jit-10               	     424	   2805962 ns/op	      74 B/op	       0 allocs/op
BenchmarkSuite/fib/luart-jit-10               	     428	   2799167 ns/op	      73 B/op	       0 allocs/op
BenchmarkSuite/fib/shopify-10                 	      86	  14115833 ns/op	 2542631 B/op	  317811 allocs/op
BenchmarkSuite/fib/shopify-10                 	      84	  14257173 ns/op	 2542639 B/op	  317811 allocs/op
BenchmarkSuite/fib/shopify-10                 	      85	  14356497 ns/op	 2542632 B/op	  317811 allocs/op
BenchmarkSuite/fib/shopify-10                 	      86	  14163786 ns/op	 2542630 B/op	  317811 allocs/op
BenchmarkSuite/fib/shopify-10                 	      85	  14101398 ns/op	 2542630 B/op	  317811 allocs/op
BenchmarkSuite/fib/shopify-10                 	      85	  14140190 ns/op	 2542632 B/op	  317811 allocs/op
BenchmarkSuite/numeric-loop/go-10         	     894	   1193743 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/go-10         	    1022	   1191743 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/go-10         	    1022	   1180681 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/go-10         	    1018	   1175329 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/go-10         	    1017	   1175129 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/go-10         	    1010	   1180078 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/luart-10      	      82	  14666069 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/luart-10      	      81	  14672738 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/luart-10      	      78	  14632482 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/luart-10      	      81	  14546201 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/luart-10      	      82	  14530976 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/luart-10      	      81	  15100401 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/luart-jit-10  	     674	   1791226 ns/op	      24 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/luart-jit-10  	     674	   1791466 ns/op	      23 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/luart-jit-10  	     676	   1781697 ns/op	      23 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/luart-jit-10  	     670	   1784855 ns/op	      24 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/luart-jit-10  	     670	   1796880 ns/op	      23 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/luart-jit-10  	     670	   1781571 ns/op	      23 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/shopify-10    	       4	 293829614 ns/op	38857516 B/op	 4857158 allocs/op
BenchmarkSuite/numeric-loop/shopify-10    	       4	 291142333 ns/op	38857544 B/op	 4857158 allocs/op
BenchmarkSuite/numeric-loop/shopify-10    	       4	 293846708 ns/op	38858826 B/op	 4857159 allocs/op
BenchmarkSuite/numeric-loop/shopify-10    	       4	 291342208 ns/op	38857712 B/op	 4857159 allocs/op
BenchmarkSuite/numeric-loop/shopify-10    	       4	 290840927 ns/op	38857604 B/op	 4857158 allocs/op
BenchmarkSuite/numeric-loop/shopify-10    	       4	 291651156 ns/op	38857524 B/op	 4857157 allocs/op
BenchmarkSuite/array-fill-sum/go-10           	    2160	    592354 ns/op	 4101356 B/op	      26 allocs/op
BenchmarkSuite/array-fill-sum/go-10           	    1779	    789349 ns/op	 4101358 B/op	      26 allocs/op
BenchmarkSuite/array-fill-sum/go-10           	    1942	    608376 ns/op	 4101351 B/op	      26 allocs/op
BenchmarkSuite/array-fill-sum/go-10           	    2026	    598275 ns/op	 4101353 B/op	      26 allocs/op
BenchmarkSuite/array-fill-sum/go-10           	    2154	    591750 ns/op	 4101358 B/op	      26 allocs/op
BenchmarkSuite/array-fill-sum/go-10           	    1759	    610235 ns/op	 4101361 B/op	      26 allocs/op
BenchmarkSuite/array-fill-sum/luart-10        	     270	   4597611 ns/op	 4317040 B/op	      22 allocs/op
BenchmarkSuite/array-fill-sum/luart-10        	     252	   4661818 ns/op	 4317044 B/op	      22 allocs/op
BenchmarkSuite/array-fill-sum/luart-10        	     274	   4370072 ns/op	 4317040 B/op	      22 allocs/op
BenchmarkSuite/array-fill-sum/luart-10        	     259	   4409191 ns/op	 4317042 B/op	      22 allocs/op
BenchmarkSuite/array-fill-sum/luart-10        	     288	   4193144 ns/op	 4317043 B/op	      22 allocs/op
BenchmarkSuite/array-fill-sum/luart-10        	     282	   4347828 ns/op	 4317044 B/op	      22 allocs/op
BenchmarkSuite/array-fill-sum/luart-jit-10    	     657	   1770065 ns/op	 4317066 B/op	      22 allocs/op
BenchmarkSuite/array-fill-sum/luart-jit-10    	     739	   1666492 ns/op	 4317070 B/op	      22 allocs/op
BenchmarkSuite/array-fill-sum/luart-jit-10    	     759	   1600799 ns/op	 4317062 B/op	      22 allocs/op
BenchmarkSuite/array-fill-sum/luart-jit-10    	     736	   1585395 ns/op	 4317077 B/op	      22 allocs/op
BenchmarkSuite/array-fill-sum/luart-jit-10    	     762	   1568853 ns/op	 4317067 B/op	      22 allocs/op
BenchmarkSuite/array-fill-sum/luart-jit-10    	     692	   1673692 ns/op	 4317062 B/op	      22 allocs/op
BenchmarkSuite/array-fill-sum/shopify-10      	     134	   8896580 ns/op	 8317124 B/op	  500029 allocs/op
BenchmarkSuite/array-fill-sum/shopify-10      	     134	   8936058 ns/op	 8317127 B/op	  500029 allocs/op
BenchmarkSuite/array-fill-sum/shopify-10      	     135	   8826787 ns/op	 8317127 B/op	  500029 allocs/op
BenchmarkSuite/array-fill-sum/shopify-10      	     134	   8871777 ns/op	 8317130 B/op	  500029 allocs/op
BenchmarkSuite/array-fill-sum/shopify-10      	     132	   8961819 ns/op	 8317121 B/op	  500029 allocs/op
BenchmarkSuite/array-fill-sum/shopify-10      	     134	   8891571 ns/op	 8317131 B/op	  500029 allocs/op
BenchmarkSuite/records/go-10                  	    9592	    126292 ns/op	  470337 B/op	   10015 allocs/op
BenchmarkSuite/records/go-10                  	    9171	    128621 ns/op	  470337 B/op	   10015 allocs/op
BenchmarkSuite/records/go-10                  	    8520	    142863 ns/op	  470338 B/op	   10015 allocs/op
BenchmarkSuite/records/go-10                  	    7881	    142505 ns/op	  470338 B/op	   10015 allocs/op
BenchmarkSuite/records/go-10                  	    8559	    130348 ns/op	  470338 B/op	   10015 allocs/op
BenchmarkSuite/records/go-10                  	    9368	    128311 ns/op	  470337 B/op	   10015 allocs/op
BenchmarkSuite/records/luart-10               	     883	   1387312 ns/op	 1878555 B/op	   10019 allocs/op
BenchmarkSuite/records/luart-10               	     883	   1371528 ns/op	 1878271 B/op	   10019 allocs/op
BenchmarkSuite/records/luart-10               	     849	   1408205 ns/op	 1877292 B/op	   10019 allocs/op
BenchmarkSuite/records/luart-10               	     862	   1389877 ns/op	 1875857 B/op	   10019 allocs/op
BenchmarkSuite/records/luart-10               	     897	   1325207 ns/op	 1875825 B/op	   10019 allocs/op
BenchmarkSuite/records/luart-10               	     898	   1398001 ns/op	 1878594 B/op	   10019 allocs/op
BenchmarkSuite/records/luart-jit-10           	    1203	    975473 ns/op	 1880384 B/op	   10019 allocs/op
BenchmarkSuite/records/luart-jit-10           	    1171	   1012944 ns/op	 1886046 B/op	   10020 allocs/op
BenchmarkSuite/records/luart-jit-10           	    1039	   1099467 ns/op	 1879706 B/op	   10019 allocs/op
BenchmarkSuite/records/luart-jit-10           	    1167	   1117499 ns/op	 1885177 B/op	   10020 allocs/op
BenchmarkSuite/records/luart-jit-10           	    1191	   1139629 ns/op	 1877885 B/op	   10019 allocs/op
BenchmarkSuite/records/luart-jit-10           	    1132	   1068738 ns/op	 1883504 B/op	   10020 allocs/op
BenchmarkSuite/records/shopify-10             	     282	   4273640 ns/op	 5629728 B/op	  120025 allocs/op
BenchmarkSuite/records/shopify-10             	     278	   4264824 ns/op	 5629726 B/op	  120025 allocs/op
BenchmarkSuite/records/shopify-10             	     284	   4268659 ns/op	 5629726 B/op	  120025 allocs/op
BenchmarkSuite/records/shopify-10             	     283	   4299719 ns/op	 5629726 B/op	  120025 allocs/op
BenchmarkSuite/records/shopify-10             	     280	   4273721 ns/op	 5629730 B/op	  120025 allocs/op
BenchmarkSuite/records/shopify-10             	     277	   4276737 ns/op	 5629731 B/op	  120025 allocs/op
BenchmarkSuite/closures/go-10                 	    3375	    354987 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/closures/go-10                 	    3403	    350883 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/closures/go-10                 	    3416	    349840 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/closures/go-10                 	    3433	    349261 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/closures/go-10                 	    3429	    350405 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/closures/go-10                 	    3399	    353919 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/closures/luart-10              	     147	   8112352 ns/op	 9601132 B/op	  100013 allocs/op
BenchmarkSuite/closures/luart-10              	     145	   8243993 ns/op	 9601138 B/op	  100013 allocs/op
BenchmarkSuite/closures/luart-10              	     147	   8126073 ns/op	 9601155 B/op	  100013 allocs/op
BenchmarkSuite/closures/luart-10              	     146	   8228330 ns/op	 9601139 B/op	  100013 allocs/op
BenchmarkSuite/closures/luart-10              	     144	   8344906 ns/op	 9601159 B/op	  100013 allocs/op
BenchmarkSuite/closures/luart-10              	     140	   8472481 ns/op	 9601162 B/op	  100013 allocs/op
BenchmarkSuite/closures/luart-jit-10          	     127	   9422932 ns/op	 9601373 B/op	  100014 allocs/op
BenchmarkSuite/closures/luart-jit-10          	     127	   9685009 ns/op	 9601379 B/op	  100014 allocs/op
BenchmarkSuite/closures/luart-jit-10          	     130	   9114175 ns/op	 9601395 B/op	  100014 allocs/op
BenchmarkSuite/closures/luart-jit-10          	     130	   9158571 ns/op	 9601391 B/op	  100014 allocs/op
BenchmarkSuite/closures/luart-jit-10          	     130	   9131852 ns/op	 9601397 B/op	  100014 allocs/op
BenchmarkSuite/closures/luart-jit-10          	     129	   9218016 ns/op	 9601380 B/op	  100014 allocs/op
BenchmarkSuite/closures/shopify-10            	      87	  13965374 ns/op	12000211 B/op	  900007 allocs/op
BenchmarkSuite/closures/shopify-10            	      88	  13791961 ns/op	12000209 B/op	  900007 allocs/op
BenchmarkSuite/closures/shopify-10            	      86	  14133444 ns/op	12000208 B/op	  900007 allocs/op
BenchmarkSuite/closures/shopify-10            	      86	  13755818 ns/op	12000209 B/op	  900007 allocs/op
BenchmarkSuite/closures/shopify-10            	      87	  13784166 ns/op	12000203 B/op	  900007 allocs/op
BenchmarkSuite/closures/shopify-10            	      86	  13874532 ns/op	12000202 B/op	  900007 allocs/op
BenchmarkSuite/sort/go-10                     	     614	   1948410 ns/op	   81976 B/op	       3 allocs/op
BenchmarkSuite/sort/go-10                     	     612	   1941338 ns/op	   81976 B/op	       3 allocs/op
BenchmarkSuite/sort/go-10                     	     615	   1939094 ns/op	   81976 B/op	       3 allocs/op
BenchmarkSuite/sort/go-10                     	     620	   1966355 ns/op	   81976 B/op	       3 allocs/op
BenchmarkSuite/sort/go-10                     	     620	   1944086 ns/op	   81976 B/op	       3 allocs/op
BenchmarkSuite/sort/go-10                     	     622	   1929146 ns/op	   81976 B/op	       3 allocs/op
BenchmarkSuite/sort/luart-10                  	     212	   5684189 ns/op	  589645 B/op	      18 allocs/op
BenchmarkSuite/sort/luart-10                  	     212	   5645556 ns/op	  589646 B/op	      18 allocs/op
BenchmarkSuite/sort/luart-10                  	     211	   5768376 ns/op	  589646 B/op	      18 allocs/op
BenchmarkSuite/sort/luart-10                  	     211	   5649109 ns/op	  589645 B/op	      18 allocs/op
BenchmarkSuite/sort/luart-10                  	     211	   5642486 ns/op	  589644 B/op	      18 allocs/op
BenchmarkSuite/sort/luart-10                  	     210	   5659603 ns/op	  589644 B/op	      18 allocs/op
BenchmarkSuite/sort/luart-jit-10              	     207	   5767934 ns/op	  589808 B/op	      18 allocs/op
BenchmarkSuite/sort/luart-jit-10              	     207	   5770663 ns/op	  589811 B/op	      18 allocs/op
BenchmarkSuite/sort/luart-jit-10              	     206	   5858224 ns/op	  589804 B/op	      18 allocs/op
BenchmarkSuite/sort/luart-jit-10              	     207	   5772908 ns/op	  589810 B/op	      18 allocs/op
BenchmarkSuite/sort/luart-jit-10              	     207	   5760507 ns/op	  589810 B/op	      18 allocs/op
BenchmarkSuite/sort/luart-jit-10              	     205	   5799880 ns/op	  589811 B/op	      18 allocs/op
BenchmarkSuite/sort/shopify-10                	      88	  14028802 ns/op	12093301 B/op	  179821 allocs/op
BenchmarkSuite/sort/shopify-10                	      82	  13789943 ns/op	12093298 B/op	  179821 allocs/op
BenchmarkSuite/sort/shopify-10                	      86	  14071842 ns/op	12093327 B/op	  179821 allocs/op
BenchmarkSuite/sort/shopify-10                	      91	  14021917 ns/op	12093296 B/op	  179821 allocs/op
BenchmarkSuite/sort/shopify-10                	      90	  13910773 ns/op	12093311 B/op	  179821 allocs/op
BenchmarkSuite/sort/shopify-10                	      90	  13721389 ns/op	12093295 B/op	  179821 allocs/op
BenchmarkSuite/string-build/go-10             	    2108	    572564 ns/op	  754148 B/op	   10008 allocs/op
BenchmarkSuite/string-build/go-10             	    2066	    572239 ns/op	  754148 B/op	   10008 allocs/op
BenchmarkSuite/string-build/go-10             	    2101	    574356 ns/op	  754147 B/op	   10008 allocs/op
BenchmarkSuite/string-build/go-10             	    2107	    581673 ns/op	  754148 B/op	   10008 allocs/op
BenchmarkSuite/string-build/go-10             	    2107	    572423 ns/op	  754148 B/op	   10008 allocs/op
BenchmarkSuite/string-build/go-10             	    2107	    577693 ns/op	  754147 B/op	   10008 allocs/op
BenchmarkSuite/string-build/luart-10          	    1138	   1057088 ns/op	  840182 B/op	    9939 allocs/op
BenchmarkSuite/string-build/luart-10          	    1144	   1056757 ns/op	  840179 B/op	    9939 allocs/op
BenchmarkSuite/string-build/luart-10          	    1129	   1078729 ns/op	  840182 B/op	    9939 allocs/op
BenchmarkSuite/string-build/luart-10          	    1144	   1059481 ns/op	  840178 B/op	    9939 allocs/op
BenchmarkSuite/string-build/luart-10          	    1125	   1060444 ns/op	  840182 B/op	    9939 allocs/op
BenchmarkSuite/string-build/luart-10          	    1123	   1057386 ns/op	  840179 B/op	    9939 allocs/op
BenchmarkSuite/string-build/luart-jit-10      	    1357	    857217 ns/op	  840215 B/op	    9939 allocs/op
BenchmarkSuite/string-build/luart-jit-10      	    1389	    851441 ns/op	  840215 B/op	    9939 allocs/op
BenchmarkSuite/string-build/luart-jit-10      	    1423	    862707 ns/op	  840213 B/op	    9939 allocs/op
BenchmarkSuite/string-build/luart-jit-10      	    1363	    850650 ns/op	  840214 B/op	    9939 allocs/op
BenchmarkSuite/string-build/luart-jit-10      	    1430	    847136 ns/op	  840213 B/op	    9939 allocs/op
BenchmarkSuite/string-build/luart-jit-10      	    1405	    847434 ns/op	  840213 B/op	    9939 allocs/op
BenchmarkSuite/string-build/shopify-10        	      12	  99781778 ns/op	518435975 B/op	   80277 allocs/op
BenchmarkSuite/string-build/shopify-10        	      12	  99205069 ns/op	518436186 B/op	   80275 allocs/op
BenchmarkSuite/string-build/shopify-10        	      12	  99344347 ns/op	518436106 B/op	   80275 allocs/op
BenchmarkSuite/string-build/shopify-10        	      12	 101040403 ns/op	518435246 B/op	   80266 allocs/op
BenchmarkSuite/string-build/shopify-10        	      12	 102092479 ns/op	518434368 B/op	   80260 allocs/op
BenchmarkSuite/string-build/shopify-10        	      13	  86299109 ns/op	518433241 B/op	   80190 allocs/op
BenchmarkSuite/string-scan/go-10              	   59730	     20069 ns/op	   12288 B/op	       1 allocs/op
BenchmarkSuite/string-scan/go-10              	   59199	     20323 ns/op	   12288 B/op	       1 allocs/op
BenchmarkSuite/string-scan/go-10              	   59460	     20124 ns/op	   12288 B/op	       1 allocs/op
BenchmarkSuite/string-scan/go-10              	   59378	     20299 ns/op	   12288 B/op	       1 allocs/op
BenchmarkSuite/string-scan/go-10              	   58828	     20136 ns/op	   12288 B/op	       1 allocs/op
BenchmarkSuite/string-scan/go-10              	   59670	     20421 ns/op	   12288 B/op	       1 allocs/op
BenchmarkSuite/string-scan/luart-10           	     511	   2370084 ns/op	       5 B/op	       0 allocs/op
BenchmarkSuite/string-scan/luart-10           	     516	   2308119 ns/op	       5 B/op	       0 allocs/op
BenchmarkSuite/string-scan/luart-10           	     524	   2277529 ns/op	       5 B/op	       0 allocs/op
BenchmarkSuite/string-scan/luart-10           	     526	   2278106 ns/op	       5 B/op	       0 allocs/op
BenchmarkSuite/string-scan/luart-10           	     525	   2282849 ns/op	       5 B/op	       0 allocs/op
BenchmarkSuite/string-scan/luart-10           	     525	   2281148 ns/op	       5 B/op	       0 allocs/op
BenchmarkSuite/string-scan/luart-jit-10       	    1378	    869590 ns/op	      60 B/op	       0 allocs/op
BenchmarkSuite/string-scan/luart-jit-10       	    1394	    856836 ns/op	      59 B/op	       0 allocs/op
BenchmarkSuite/string-scan/luart-jit-10       	    1402	    855506 ns/op	      59 B/op	       0 allocs/op
BenchmarkSuite/string-scan/luart-jit-10       	    1405	    853015 ns/op	      59 B/op	       0 allocs/op
BenchmarkSuite/string-scan/luart-jit-10       	    1400	    853686 ns/op	      59 B/op	       0 allocs/op
BenchmarkSuite/string-scan/luart-jit-10       	    1406	    853545 ns/op	      59 B/op	       0 allocs/op
BenchmarkSuite/string-scan/shopify-10         	     354	   3384187 ns/op	  832142 B/op	   71007 allocs/op
BenchmarkSuite/string-scan/shopify-10         	     348	   3423854 ns/op	  832142 B/op	   71007 allocs/op
BenchmarkSuite/string-scan/shopify-10         	     355	   3378425 ns/op	  832142 B/op	   71007 allocs/op
BenchmarkSuite/string-scan/shopify-10         	     352	   3386875 ns/op	  832142 B/op	   71007 allocs/op
BenchmarkSuite/string-scan/shopify-10         	     355	   3422348 ns/op	  832142 B/op	   71007 allocs/op
BenchmarkSuite/string-scan/shopify-10         	     355	   3424705 ns/op	  832143 B/op	   71007 allocs/op
BenchmarkSuite/go-calls/go-10                 	    3453	    350553 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/go-calls/go-10                 	    3450	    348673 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/go-calls/go-10                 	    3458	    346920 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/go-calls/go-10                 	    3382	    349673 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/go-calls/go-10                 	    3462	    346483 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/go-calls/go-10                 	    3387	    346915 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/go-calls/luart-10              	     422	   2830559 ns/op	       2 B/op	       0 allocs/op
BenchmarkSuite/go-calls/luart-10              	     424	   2829301 ns/op	       2 B/op	       0 allocs/op
BenchmarkSuite/go-calls/luart-10              	     423	   2831039 ns/op	       2 B/op	       0 allocs/op
BenchmarkSuite/go-calls/luart-10              	     423	   2870608 ns/op	       2 B/op	       0 allocs/op
BenchmarkSuite/go-calls/luart-10              	     423	   2830148 ns/op	       2 B/op	       0 allocs/op
BenchmarkSuite/go-calls/luart-10              	     423	   2830997 ns/op	       2 B/op	       0 allocs/op
BenchmarkSuite/go-calls/luart-jit-10          	     570	   2121840 ns/op	      48 B/op	       0 allocs/op
