goos: darwin
goarch: arm64
pkg: luabench
cpu: Apple M1 Pro
BenchmarkStandard/cd/shopify-10               	       5	 236137300 ns/op	126164137 B/op	 2235268 allocs/op
BenchmarkStandard/cd/shopify-10               	       5	 236568258 ns/op	126164035 B/op	 2235267 allocs/op
BenchmarkStandard/deltablue/luart-10          	      25	  48272097 ns/op	10159722 B/op	   88505 allocs/op
BenchmarkStandard/deltablue/luart-10          	      24	  48818165 ns/op	10117568 B/op	   88501 allocs/op
BenchmarkStandard/deltablue/luart-10          	      24	  48016108 ns/op	10112008 B/op	   88500 allocs/op
BenchmarkStandard/deltablue/luart-10          	      24	  47797380 ns/op	10124653 B/op	   88502 allocs/op
BenchmarkStandard/deltablue/luart-10          	      24	  47584271 ns/op	10108507 B/op	   88500 allocs/op
BenchmarkStandard/deltablue/luart-10          	      24	  48031722 ns/op	10182945 B/op	   88509 allocs/op
BenchmarkStandard/deltablue/luart-jit-10      	      37	  31921261 ns/op	10210086 B/op	   88576 allocs/op
BenchmarkStandard/deltablue/luart-jit-10      	      37	  31853218 ns/op	10219256 B/op	   88576 allocs/op
BenchmarkStandard/deltablue/luart-jit-10      	      37	  32248396 ns/op	10203719 B/op	   88575 allocs/op
BenchmarkStandard/deltablue/luart-jit-10      	      31	  32272637 ns/op	10257046 B/op	   88600 allocs/op
BenchmarkStandard/deltablue/luart-jit-10      	      37	  31732535 ns/op	10198502 B/op	   88575 allocs/op
BenchmarkStandard/deltablue/luart-jit-10      	      36	  32582655 ns/op	10211272 B/op	   88578 allocs/op
BenchmarkStandard/deltablue/shopify-10        	       1	2533715917 ns/op	33561768 B/op	 1173630 allocs/op
BenchmarkStandard/deltablue/shopify-10        	       1	2512243875 ns/op	33561816 B/op	 1173631 allocs/op
BenchmarkStandard/deltablue/shopify-10        	       1	2496981250 ns/op	33561736 B/op	 1173630 allocs/op
BenchmarkStandard/deltablue/shopify-10        	       1	2482626916 ns/op	33561848 B/op	 1173631 allocs/op
BenchmarkStandard/deltablue/shopify-10        	       1	2548130250 ns/op	33561736 B/op	 1173630 allocs/op
BenchmarkStandard/deltablue/shopify-10        	       1	2489401625 ns/op	33561832 B/op	 1173631 allocs/op
BenchmarkStandard/havlak/luart-10             	       1	3190488917 ns/op	1512995328 B/op	13924619 allocs/op
BenchmarkStandard/havlak/luart-10             	       1	3198284916 ns/op	1522165008 B/op	13925608 allocs/op
BenchmarkStandard/havlak/luart-10             	       1	3248272083 ns/op	1516909816 B/op	13925042 allocs/op
BenchmarkStandard/havlak/luart-10             	       1	3358411292 ns/op	1516909688 B/op	13925045 allocs/op
BenchmarkStandard/havlak/luart-10             	       1	3192703584 ns/op	1526448352 B/op	13926061 allocs/op
BenchmarkStandard/havlak/luart-10             	       1	3167530041 ns/op	1512180840 B/op	13924530 allocs/op
BenchmarkStandard/havlak/luart-jit-10         	       1	2771194416 ns/op	1519653600 B/op	13928321 allocs/op
BenchmarkStandard/havlak/luart-jit-10         	       1	2753177709 ns/op	1514925104 B/op	13927809 allocs/op
BenchmarkStandard/havlak/luart-jit-10         	       1	2774490333 ns/op	1529597032 B/op	13929368 allocs/op
BenchmarkStandard/havlak/luart-jit-10         	       1	2808338542 ns/op	1524868568 B/op	13928869 allocs/op
BenchmarkStandard/havlak/luart-jit-10         	       1	2739710125 ns/op	1524868624 B/op	13928859 allocs/op
BenchmarkStandard/havlak/luart-jit-10         	       1	2764002541 ns/op	1519653304 B/op	13928312 allocs/op
BenchmarkStandard/json/luart-10               	     100	  10801996 ns/op	 1257929 B/op	   11601 allocs/op
BenchmarkStandard/json/luart-10               	     100	  10591511 ns/op	 1260129 B/op	   11601 allocs/op
BenchmarkStandard/json/luart-10               	     100	  10555149 ns/op	 1258290 B/op	   11601 allocs/op
BenchmarkStandard/json/luart-10               	     100	  10628938 ns/op	 1257556 B/op	   11601 allocs/op
