goos: linux
goarch: amd64
pkg: luabench
cpu: AMD Ryzen 9 9900X3D 12-Core Processor          
BenchmarkStandard/storage/shopify-6         	     384	   3102432 ns/op	 3023532 B/op	   80176 allocs/op
BenchmarkStandard/storage/shopify-6         	     388	   3088058 ns/op	 3023528 B/op	   80176 allocs/op
BenchmarkStandard/storage/shopify-6         	     386	   3102456 ns/op	 3023533 B/op	   80176 allocs/op
BenchmarkStandard/towers/apogee-6           	     769	   1553743 ns/op	    1895 B/op	      17 allocs/op
BenchmarkStandard/towers/apogee-6           	     771	   1570466 ns/op	    1895 B/op	      17 allocs/op
BenchmarkStandard/towers/apogee-6           	     763	   1566752 ns/op	    1895 B/op	      17 allocs/op
BenchmarkStandard/towers/apogee-6           	     780	   1539678 ns/op	    1894 B/op	      17 allocs/op
BenchmarkStandard/towers/apogee-6           	     772	   1549964 ns/op	    1895 B/op	      17 allocs/op
BenchmarkStandard/towers/apogee-6           	     774	   1540641 ns/op	    1895 B/op	      17 allocs/op
BenchmarkStandard/towers/apogee-jit-6       	    2202	    534530 ns/op	    2089 B/op	      17 allocs/op
BenchmarkStandard/towers/apogee-jit-6       	    2257	    524499 ns/op	    2083 B/op	      17 allocs/op
BenchmarkStandard/towers/apogee-jit-6       	    2252	    527273 ns/op	    2084 B/op	      17 allocs/op
BenchmarkStandard/towers/apogee-jit-6       	    2251	    523347 ns/op	    2084 B/op	      17 allocs/op
BenchmarkStandard/towers/apogee-jit-6       	    2257	    527401 ns/op	    2083 B/op	      17 allocs/op
BenchmarkStandard/towers/apogee-jit-6       	    2270	    524089 ns/op	    2082 B/op	      17 allocs/op
BenchmarkStandard/towers/shopify-6          	     285	   4171942 ns/op	  986399 B/op	   49061 allocs/op
BenchmarkStandard/towers/shopify-6          	     292	   4101486 ns/op	  986397 B/op	   49061 allocs/op
BenchmarkStandard/towers/shopify-6          	     284	   4180565 ns/op	  986402 B/op	   49061 allocs/op
BenchmarkStandard/towers/shopify-6          	     290	   4227604 ns/op	  986399 B/op	   49061 allocs/op
BenchmarkStandard/towers/shopify-6          	     284	   4227245 ns/op	  986399 B/op	   49061 allocs/op
BenchmarkStandard/towers/shopify-6          	     282	   4329019 ns/op	  986398 B/op	   49061 allocs/op
BenchmarkStandard/binary-trees/apogee-6     	       7	 166183764 ns/op	170286684 B/op	 2649135 allocs/op
BenchmarkStandard/binary-trees/apogee-6     	       7	 166025165 ns/op	170202033 B/op	 2649122 allocs/op
BenchmarkStandard/binary-trees/apogee-6     	       7	 165911294 ns/op	170286497 B/op	 2649134 allocs/op
BenchmarkStandard/binary-trees/apogee-6     	       7	 166201601 ns/op	170223189 B/op	 2649127 allocs/op
BenchmarkStandard/binary-trees/apogee-6     	       7	 165329854 ns/op	170286682 B/op	 2649135 allocs/op
BenchmarkStandard/binary-trees/apogee-6     	       7	 166192930 ns/op	170286698 B/op	 2649135 allocs/op
BenchmarkStandard/binary-trees/apogee-jit-6 	      12	  97570183 ns/op	170176988 B/op	 2649129 allocs/op
BenchmarkStandard/binary-trees/apogee-jit-6 	      12	  98149112 ns/op	170201592 B/op	 2649130 allocs/op
BenchmarkStandard/binary-trees/apogee-jit-6 	      12	  97898045 ns/op	170214018 B/op	 2649132 allocs/op
BenchmarkStandard/binary-trees/apogee-jit-6 	      12	  98000253 ns/op	170112408 B/op	 2649121 allocs/op
BenchmarkStandard/binary-trees/apogee-jit-6 	      12	  98618399 ns/op	170164704 B/op	 2649126 allocs/op
BenchmarkStandard/binary-trees/apogee-jit-6 	      12	  97864755 ns/op	170210851 B/op	 2649131 allocs/op
BenchmarkStandard/binary-trees/shopify-6    	       5	 220256467 ns/op	235300424 B/op	 6919550 allocs/op
BenchmarkStandard/binary-trees/shopify-6    	       5	 222734367 ns/op	235300536 B/op	 6919551 allocs/op
BenchmarkStandard/binary-trees/shopify-6    	       5	 222332379 ns/op	235300568 B/op	 6919551 allocs/op
BenchmarkStandard/binary-trees/shopify-6    	       5	 220504545 ns/op	235300352 B/op	 6919549 allocs/op
BenchmarkStandard/binary-trees/shopify-6    	       5	 219673539 ns/op	235300483 B/op	 6919550 allocs/op
BenchmarkStandard/binary-trees/shopify-6    	       5	 222092823 ns/op	235300470 B/op	 6919551 allocs/op
BenchmarkStandard/fannkuch-redux/apogee-6   	       6	 186018295 ns/op	    2885 B/op	      18 allocs/op
BenchmarkStandard/fannkuch-redux/apogee-6   	       6	 185535352 ns/op	    2885 B/op	      18 allocs/op
BenchmarkStandard/fannkuch-redux/apogee-6   	       6	 186325302 ns/op	    2885 B/op	      18 allocs/op
BenchmarkStandard/fannkuch-redux/apogee-6   	       6	 187445918 ns/op	    2885 B/op	      18 allocs/op
BenchmarkStandard/fannkuch-redux/apogee-6   	       6	 185263071 ns/op	    2885 B/op	      18 allocs/op
BenchmarkStandard/fannkuch-redux/apogee-6   	       6	 184961996 ns/op	    2885 B/op	      18 allocs/op
BenchmarkStandard/fannkuch-redux/apogee-jit-6         	      33	  34535071 ns/op	   10441 B/op	      25 allocs/op
BenchmarkStandard/fannkuch-redux/apogee-jit-6         	      33	  34577907 ns/op	   10441 B/op	      25 allocs/op
BenchmarkStandard/fannkuch-redux/apogee-jit-6         	      33	  34675179 ns/op	   10441 B/op	      25 allocs/op
BenchmarkStandard/fannkuch-redux/apogee-jit-6         	      33	  34526125 ns/op	   10441 B/op	      25 allocs/op
BenchmarkStandard/fannkuch-redux/apogee-jit-6         	      33	  34520452 ns/op	   10441 B/op	      25 allocs/op
BenchmarkStandard/fannkuch-redux/apogee-jit-6         	      33	  34553634 ns/op	   10441 B/op	      25 allocs/op
BenchmarkStandard/fannkuch-redux/shopify-6            	       4	 316757855 ns/op	128203162 B/op	16025026 allocs/op
BenchmarkStandard/fannkuch-redux/shopify-6            	       4	 316102719 ns/op	128202946 B/op	16025024 allocs/op
BenchmarkStandard/fannkuch-redux/shopify-6            	       4	 317477844 ns/op	128203154 B/op	16025026 allocs/op
BenchmarkStandard/fannkuch-redux/shopify-6            	       4	 316865955 ns/op	128202742 B/op	16025022 allocs/op
BenchmarkStandard/fannkuch-redux/shopify-6            	       4	 317068852 ns/op	128202998 B/op	16025025 allocs/op
BenchmarkStandard/fannkuch-redux/shopify-6            	       4	 317933592 ns/op	128203046 B/op	16025025 allocs/op
BenchmarkStandard/spectral-norm/apogee-6              	      14	  77118085 ns/op	   28625 B/op	      30 allocs/op
BenchmarkStandard/spectral-norm/apogee-6              	      14	  77297700 ns/op	   28625 B/op	      30 allocs/op
BenchmarkStandard/spectral-norm/apogee-6              	      14	  77093255 ns/op	   28625 B/op	      30 allocs/op
BenchmarkStandard/spectral-norm/apogee-6              	      14	  77079800 ns/op	   28625 B/op	      30 allocs/op
BenchmarkStandard/spectral-norm/apogee-6              	      14	  77098300 ns/op	   28625 B/op	      30 allocs/op
BenchmarkStandard/spectral-norm/apogee-6              	      14	  77074367 ns/op	   28625 B/op	      30 allocs/op
BenchmarkStandard/spectral-norm/apogee-jit-6          	      60	  19675544 ns/op	   32560 B/op	      38 allocs/op
BenchmarkStandard/spectral-norm/apogee-jit-6          	      57	  20400749 ns/op	   32786 B/op	      38 allocs/op
BenchmarkStandard/spectral-norm/apogee-jit-6          	      58	  19827745 ns/op	   32708 B/op	      38 allocs/op
BenchmarkStandard/spectral-norm/apogee-jit-6          	      58	  19823190 ns/op	   32708 B/op	      38 allocs/op
BenchmarkStandard/spectral-norm/apogee-jit-6          	      58	  20156458 ns/op	   32708 B/op	      38 allocs/op
BenchmarkStandard/spectral-norm/apogee-jit-6          	      60	  19655606 ns/op	   32560 B/op	      38 allocs/op
BenchmarkStandard/spectral-norm/shopify-6             	       6	 204247745 ns/op	141099178 B/op	17633671 allocs/op
BenchmarkStandard/spectral-norm/shopify-6             	       7	 168639619 ns/op	141099132 B/op	17633671 allocs/op
BenchmarkStandard/spectral-norm/shopify-6             	       6	 170426850 ns/op	141099133 B/op	17633671 allocs/op
BenchmarkStandard/spectral-norm/shopify-6             	       6	 170564095 ns/op	141099429 B/op	17633674 allocs/op
BenchmarkStandard/spectral-norm/shopify-6             	       6	 170596482 ns/op	141099168 B/op	17633671 allocs/op
BenchmarkStandard/spectral-norm/shopify-6             	       6	 168503400 ns/op	141099234 B/op	17633672 allocs/op
BenchmarkSuite/fib/go-6                               	    5612	    215424 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/fib/go-6                               	    5407	    216401 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/fib/go-6                               	    5534	    212295 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/fib/go-6                               	    5677	    211726 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/fib/go-6                               	    5533	    213219 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/fib/go-6                               	    5622	    213315 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/fib/apogee-6                           	     204	   5854789 ns/op	      26 B/op	       0 allocs/op
BenchmarkSuite/fib/apogee-6                           	     204	   5848454 ns/op	      26 B/op	       0 allocs/op
BenchmarkSuite/fib/apogee-6                           	     204	   5851437 ns/op	      26 B/op	       0 allocs/op
BenchmarkSuite/fib/apogee-6                           	     204	   5850928 ns/op	      26 B/op	       0 allocs/op
BenchmarkSuite/fib/apogee-6                           	     205	   5846554 ns/op	      25 B/op	       0 allocs/op
BenchmarkSuite/fib/apogee-6                           	     204	   5855864 ns/op	      26 B/op	       0 allocs/op
BenchmarkSuite/fib/apogee-jit-6                       	     771	   1548779 ns/op	      54 B/op	       0 allocs/op
BenchmarkSuite/fib/apogee-jit-6                       	     768	   1562750 ns/op	      54 B/op	       0 allocs/op
BenchmarkSuite/fib/apogee-jit-6                       	     772	   1552584 ns/op	      54 B/op	       0 allocs/op
BenchmarkSuite/fib/apogee-jit-6                       	     769	   1553267 ns/op	      54 B/op	       0 allocs/op
BenchmarkSuite/fib/apogee-jit-6                       	     772	   1550854 ns/op	      54 B/op	       0 allocs/op
BenchmarkSuite/fib/apogee-jit-6                       	     771	   1550627 ns/op	      54 B/op	       0 allocs/op
BenchmarkSuite/fib/shopify-6                          	     130	   9136686 ns/op	 2542612 B/op	  317811 allocs/op
BenchmarkSuite/fib/shopify-6                          	     127	   9353608 ns/op	 2542616 B/op	  317811 allocs/op
BenchmarkSuite/fib/shopify-6                          	     130	   9123802 ns/op	 2542618 B/op	  317811 allocs/op
BenchmarkSuite/fib/shopify-6                          	     130	   9135280 ns/op	 2542619 B/op	  317811 allocs/op
BenchmarkSuite/fib/shopify-6                          	     130	   9144991 ns/op	 2542615 B/op	  317811 allocs/op
BenchmarkSuite/fib/shopify-6                          	     130	   9112574 ns/op	 2542621 B/op	  317811 allocs/op
BenchmarkSuite/numeric-loop/go-6                      	    1520	    786236 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/go-6                      	    1525	    786188 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/go-6                      	    1520	    786408 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/go-6                      	    1522	    786475 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/go-6                      	    1522	    786074 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/go-6                      	    1521	    786294 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/apogee-6                  	      93	  11614848 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/apogee-6                  	     100	  11631819 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/apogee-6                  	     100	  11622793 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/apogee-6                  	      97	  12280857 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/apogee-6                  	     100	  11610670 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/apogee-6                  	      97	  12265632 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/apogee-jit-6              	    1515	    789797 ns/op	      20 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/apogee-jit-6              	    1518	    789722 ns/op	      20 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/apogee-jit-6              	    1518	    789248 ns/op	      20 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/apogee-jit-6              	    1518	    789626 ns/op	      20 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/apogee-jit-6              	    1516	    789642 ns/op	      20 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/apogee-jit-6              	    1519	    789546 ns/op	      20 B/op	       0 allocs/op
BenchmarkSuite/numeric-loop/shopify-6                 	       6	 189127574 ns/op	38857805 B/op	 4857160 allocs/op
BenchmarkSuite/numeric-loop/shopify-6                 	       6	 189199289 ns/op	38857581 B/op	 4857158 allocs/op
BenchmarkSuite/numeric-loop/shopify-6                 	       6	 185461276 ns/op	38857701 B/op	 4857159 allocs/op
BenchmarkSuite/numeric-loop/shopify-6                 	       6	 186002101 ns/op	38857632 B/op	 4857159 allocs/op
BenchmarkSuite/numeric-loop/shopify-6                 	       6	 186188719 ns/op	38857706 B/op	 4857159 allocs/op
BenchmarkSuite/numeric-loop/shopify-6                 	       6	 186157353 ns/op	38857661 B/op	 4857159 allocs/op
BenchmarkSuite/array-fill-sum/go-6                    	    2706	    453382 ns/op	 4101349 B/op	      26 allocs/op
BenchmarkSuite/array-fill-sum/go-6                    	    2625	    458243 ns/op	 4101348 B/op	      26 allocs/op
BenchmarkSuite/array-fill-sum/go-6                    	    2646	    480754 ns/op	 4101344 B/op	      26 allocs/op
BenchmarkSuite/array-fill-sum/go-6                    	    2442	    491498 ns/op	 4101343 B/op	      26 allocs/op
BenchmarkSuite/array-fill-sum/go-6                    	    2502	    483997 ns/op	 4101341 B/op	      26 allocs/op
BenchmarkSuite/array-fill-sum/go-6                    	    2482	    489387 ns/op	 4101341 B/op	      26 allocs/op
BenchmarkSuite/array-fill-sum/apogee-6                	     426	   2771905 ns/op	 4317025 B/op	      22 allocs/op
BenchmarkSuite/array-fill-sum/apogee-6                	     427	   2780948 ns/op	 4317025 B/op	      22 allocs/op
BenchmarkSuite/array-fill-sum/apogee-6                	     432	   2771522 ns/op	 4317025 B/op	      22 allocs/op
BenchmarkSuite/array-fill-sum/apogee-6                	     433	   2793291 ns/op	 4317024 B/op	      22 allocs/op
BenchmarkSuite/array-fill-sum/apogee-6                	     429	   2790058 ns/op	 4317027 B/op	      22 allocs/op
BenchmarkSuite/array-fill-sum/apogee-6                	     434	   2799445 ns/op	 4317026 B/op	      22 allocs/op
BenchmarkSuite/array-fill-sum/apogee-jit-6            	    1096	   1116231 ns/op	 4317027 B/op	      21 allocs/op
BenchmarkSuite/array-fill-sum/apogee-jit-6            	    1042	   1033839 ns/op	 4317036 B/op	      21 allocs/op
BenchmarkSuite/array-fill-sum/apogee-jit-6            	    1150	   1073244 ns/op	 4317027 B/op	      21 allocs/op
BenchmarkSuite/array-fill-sum/apogee-jit-6            	    1209	   1114655 ns/op	 4317023 B/op	      21 allocs/op
BenchmarkSuite/array-fill-sum/apogee-jit-6            	    1155	   1094935 ns/op	 4317026 B/op	      21 allocs/op
BenchmarkSuite/array-fill-sum/apogee-jit-6            	    1114	   1127294 ns/op	 4317025 B/op	      21 allocs/op
BenchmarkSuite/array-fill-sum/shopify-6               	     198	   6027453 ns/op	 8317101 B/op	  500029 allocs/op
BenchmarkSuite/array-fill-sum/shopify-6               	     199	   6020724 ns/op	 8317103 B/op	  500029 allocs/op
BenchmarkSuite/array-fill-sum/shopify-6               	     198	   6035933 ns/op	 8317102 B/op	  500029 allocs/op
BenchmarkSuite/array-fill-sum/shopify-6               	     199	   6011687 ns/op	 8317104 B/op	  500029 allocs/op
BenchmarkSuite/array-fill-sum/shopify-6               	     199	   6015733 ns/op	 8317101 B/op	  500029 allocs/op
BenchmarkSuite/array-fill-sum/shopify-6               	     198	   6035378 ns/op	 8317105 B/op	  500029 allocs/op
BenchmarkSuite/records/go-6                           	   13021	     92085 ns/op	  470341 B/op	   10015 allocs/op
BenchmarkSuite/records/go-6                           	   12992	     92375 ns/op	  470340 B/op	   10015 allocs/op
BenchmarkSuite/records/go-6                           	   13011	     92174 ns/op	  470341 B/op	   10015 allocs/op
BenchmarkSuite/records/go-6                           	   13006	     92336 ns/op	  470341 B/op	   10015 allocs/op
BenchmarkSuite/records/go-6                           	   12774	     93950 ns/op	  470341 B/op	   10015 allocs/op
BenchmarkSuite/records/go-6                           	   12972	     92458 ns/op	  470340 B/op	   10015 allocs/op
BenchmarkSuite/records/apogee-6                       	    1302	    912429 ns/op	 1875297 B/op	   10019 allocs/op
BenchmarkSuite/records/apogee-6                       	    1316	    902220 ns/op	 1872688 B/op	   10019 allocs/op
BenchmarkSuite/records/apogee-6                       	    1324	    903710 ns/op	 1878905 B/op	   10019 allocs/op
BenchmarkSuite/records/apogee-6                       	    1316	    907262 ns/op	 1875475 B/op	   10019 allocs/op
BenchmarkSuite/records/apogee-6                       	    1304	    905603 ns/op	 1877514 B/op	   10019 allocs/op
BenchmarkSuite/records/apogee-6                       	    1308	    905774 ns/op	 1876738 B/op	   10019 allocs/op
BenchmarkSuite/records/apogee-jit-6                   	    1910	    623962 ns/op	 1875967 B/op	   10019 allocs/op
BenchmarkSuite/records/apogee-jit-6                   	    1833	    623596 ns/op	 1881244 B/op	   10019 allocs/op
BenchmarkSuite/records/apogee-jit-6                   	    1929	    622976 ns/op	 1877529 B/op	   10019 allocs/op
BenchmarkSuite/records/apogee-jit-6                   	    1886	    622205 ns/op	 1878750 B/op	   10019 allocs/op
BenchmarkSuite/records/apogee-jit-6                   	    1873	    621815 ns/op	 1879587 B/op	   10019 allocs/op
BenchmarkSuite/records/apogee-jit-6                   	    1910	    621009 ns/op	 1876408 B/op	   10019 allocs/op
BenchmarkSuite/records/shopify-6                      	     445	   2704838 ns/op	 5629741 B/op	  120026 allocs/op
BenchmarkSuite/records/shopify-6                      	     445	   2714065 ns/op	 5629742 B/op	  120026 allocs/op
BenchmarkSuite/records/shopify-6                      	     442	   2703253 ns/op	 5629741 B/op	  120026 allocs/op
BenchmarkSuite/records/shopify-6                      	     440	   2738226 ns/op	 5629737 B/op	  120026 allocs/op
BenchmarkSuite/records/shopify-6                      	     444	   2698123 ns/op	 5629740 B/op	  120026 allocs/op
BenchmarkSuite/records/shopify-6                      	     442	   2703807 ns/op	 5629739 B/op	  120026 allocs/op
BenchmarkSuite/closures/go-6                          	    5312	    223549 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/closures/go-6                          	    5343	    223597 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/closures/go-6                          	    5234	    223710 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/closures/go-6                          	    5358	    223483 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/closures/go-6                          	    5316	    223514 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/closures/go-6                          	    5366	    223381 ns/op	       0 B/op	       0 allocs/op
BenchmarkSuite/closures/apogee-6                      	     210	   5697190 ns/op	 9600962 B/op	  100012 allocs/op
BenchmarkSuite/closures/apogee-6                      	     210	   5685729 ns/op	 9600948 B/op	  100012 allocs/op
BenchmarkSuite/closures/apogee-6                      	     211	   5684778 ns/op	 9600939 B/op	  100012 allocs/op
BenchmarkSuite/closures/apogee-6                      	     208	   5719104 ns/op	 9600960 B/op	  100012 allocs/op
BenchmarkSuite/closures/apogee-6                      	     211	   5667428 ns/op	 9600940 B/op	  100012 allocs/op
BenchmarkSuite/closures/apogee-6                      	     211	   5693680 ns/op	 9600956 B/op	  100012 allocs/op
BenchmarkSuite/closures/apogee-jit-6                  	     249	   4770355 ns/op	 9601119 B/op	  100012 allocs/op
BenchmarkSuite/closures/apogee-jit-6                  	     250	   4768566 ns/op	 9601126 B/op	  100013 allocs/op
BenchmarkSuite/closures/apogee-jit-6                  	     250	   4784476 ns/op	 9601104 B/op	  100012 allocs/op
BenchmarkSuite/closures/apogee-jit-6                  	     250	   4758860 ns/op	 9601114 B/op	  100012 allocs/op
BenchmarkSuite/closures/apogee-jit-6                  	     248	   4792441 ns/op	 9601102 B/op	  100012 allocs/op
BenchmarkSuite/closures/apogee-jit-6                  	     252	   4763205 ns/op	 9601144 B/op	  100013 allocs/op
BenchmarkSuite/closures/shopify-6                     	     124	   9575970 ns/op	12000274 B/op	  900008 allocs/op
BenchmarkSuite/closures/shopify-6                     	     122	   9736736 ns/op	12000304 B/op	  900008 allocs/op
BenchmarkSuite/closures/shopify-6                     	     124	   9608743 ns/op	12000308 B/op	  900008 allocs/op
BenchmarkSuite/closures/shopify-6                     	     122	   9769318 ns/op	12000268 B/op	  900008 allocs/op
BenchmarkSuite/closures/shopify-6                     	     124	   9604372 ns/op	12000301 B/op	  900008 allocs/op
BenchmarkSuite/closures/shopify-6                     	     122	   9723579 ns/op	12000274 B/op	  900008 allocs/op
BenchmarkSuite/sort/go-6                              	     919	   1300387 ns/op	   81976 B/op	       3 allocs/op
BenchmarkSuite/sort/go-6                              	     921	   1299174 ns/op	   81976 B/op	       3 allocs/op
BenchmarkSuite/sort/go-6                              	     930	   1293607 ns/op	   81976 B/op	       3 allocs/op
BenchmarkSuite/sort/go-6                              	     925	   1291588 ns/op	   81976 B/op	       3 allocs/op
BenchmarkSuite/sort/go-6                              	     933	   1282775 ns/op	   81977 B/op	       3 allocs/op
BenchmarkSuite/sort/go-6                              	     934	   1291617 ns/op	   81976 B/op	       3 allocs/op
BenchmarkSuite/sort/apogee-6                          	     309	   3856444 ns/op	  589628 B/op	      17 allocs/op
BenchmarkSuite/sort/apogee-6                          	     310	   3852848 ns/op	  589628 B/op	      17 allocs/op
BenchmarkSuite/sort/apogee-6                          	     310	   3851435 ns/op	  589628 B/op	      17 allocs/op
BenchmarkSuite/sort/apogee-6                          	     310	   3851941 ns/op	  589629 B/op	      17 allocs/op
BenchmarkSuite/sort/apogee-6                          	     310	   3866070 ns/op	  589627 B/op	      17 allocs/op
BenchmarkSuite/sort/apogee-6                          	     310	   3853956 ns/op	  589631 B/op	      17 allocs/op
BenchmarkSuite/sort/apogee-jit-6                      	     303	   3959422 ns/op	  589811 B/op	      18 allocs/op
BenchmarkSuite/sort/apogee-jit-6                      	     302	   3945177 ns/op	  589813 B/op	      18 allocs/op
BenchmarkSuite/sort/apogee-jit-6                      	     302	   3949466 ns/op	  589814 B/op	      18 allocs/op
BenchmarkSuite/sort/apogee-jit-6                      	     303	   3947155 ns/op	  589812 B/op	      18 allocs/op
BenchmarkSuite/sort/apogee-jit-6                      	     303	   3952689 ns/op	  589811 B/op	      18 allocs/op
BenchmarkSuite/sort/apogee-jit-6                      	     303	   3945216 ns/op	  589811 B/op	      18 allocs/op
BenchmarkSuite/sort/shopify-6                         	     100	  11472328 ns/op	12093344 B/op	  179822 allocs/op
BenchmarkSuite/sort/shopify-6                         	      99	  11780932 ns/op	12093372 B/op	  179822 allocs/op
BenchmarkSuite/sort/shopify-6                         	      94	  11414821 ns/op	12093360 B/op	  179822 allocs/op
BenchmarkSuite/sort/shopify-6                         	     100	  10393987 ns/op	12093327 B/op	  179822 allocs/op
BenchmarkSuite/sort/shopify-6                         	     100	  11484795 ns/op	12093366 B/op	  179822 allocs/op
BenchmarkSuite/sort/shopify-6                         	     100	  11152546 ns/op	12093382 B/op	  179822 allocs/op
BenchmarkSuite/string-build/go-6                      	    3127	    380344 ns/op	  754157 B/op	   10008 allocs/op
BenchmarkSuite/string-build/go-6                      	    3156	    379166 ns/op	  754157 B/op	   10008 allocs/op
BenchmarkSuite/string-build/go-6                      	    3160	    380306 ns/op	  754156 B/op	   10008 allocs/op
BenchmarkSuite/string-build/go-6                      	    3100	    381743 ns/op	  754156 B/op	   10008 allocs/op
BenchmarkSuite/string-build/go-6                      	    3190	    379154 ns/op	  754156 B/op	   10008 allocs/op
BenchmarkSuite/string-build/go-6                      	    3200	    378636 ns/op	  754157 B/op	   10008 allocs/op
BenchmarkSuite/string-build/apogee-6                  	    1672	    712144 ns/op	  840177 B/op	    9939 allocs/op
BenchmarkSuite/string-build/apogee-6                  	    1664	    710464 ns/op	  840174 B/op	    9939 allocs/op
BenchmarkSuite/string-build/apogee-6                  	    1706	    707962 ns/op	  840176 B/op	    9939 allocs/op
BenchmarkSuite/string-build/apogee-6                  	    1695	    707687 ns/op	  840174 B/op	    9939 allocs/op
BenchmarkSuite/string-build/apogee-6                  	    1678	    708979 ns/op	  840176 B/op	    9939 allocs/op
BenchmarkSuite/string-build/apogee-6                  	    1714	    706566 ns/op	  840174 B/op	    9939 allocs/op
BenchmarkSuite/string-build/apogee-jit-6              	    2072	    578630 ns/op	  840201 B/op	    9939 allocs/op
BenchmarkSuite/string-build/apogee-jit-6              	    2091	    579699 ns/op	  840204 B/op	    9939 allocs/op
BenchmarkSuite/string-build/apogee-jit-6              	    2068	    578419 ns/op	  840202 B/op	    9939 allocs/op
BenchmarkSuite/string-build/apogee-jit-6              	    2028	    579928 ns/op	  840204 B/op	    9939 allocs/op
BenchmarkSuite/string-build/apogee-jit-6              	    2036	    586161 ns/op	  840204 B/op	    9939 allocs/op
BenchmarkSuite/string-build/apogee-jit-6              	    2046	    580624 ns/op	  840202 B/op	    9939 allocs/op
BenchmarkSuite/string-build/shopify-6                 	      15	  79493031 ns/op	518434063 B/op	   80265 allocs/op
BenchmarkSuite/string-build/shopify-6                 	      14	  78806049 ns/op	518436242 B/op	   80286 allocs/op
BenchmarkSuite/string-build/shopify-6                 	      15	  79017011 ns/op	518435937 B/op	   80284 allocs/op
BenchmarkSuite/string-build/shopify-6                 	      14	  80209350 ns/op	518435019 B/op	   80276 allocs/op
BenchmarkSuite/string-build/shopify-6                 	      14	  79831250 ns/op	518434666 B/op	   80271 allocs/op
BenchmarkSuite/string-build/shopify-6                 	      14	  78938972 ns/op	518434613 B/op	   80272 allocs/op
BenchmarkSuite/string-scan/go-6                       	  176023	      6627 ns/op	   12288 B/op	       1 allocs/op
BenchmarkSuite/string-scan/go-6                       	  181724	      6685 ns/op	   12288 B/op	       1 allocs/op
BenchmarkSuite/string-scan/go-6                       	  173211	      6679 ns/op	   12288 B/op	       1 allocs/op
BenchmarkSuite/string-scan/go-6                       	  178964	      6670 ns/op	   12288 B/op	       1 allocs/op
BenchmarkSuite/string-scan/go-6                       	  181868	      6682 ns/op	   12288 B/op	       1 allocs/op
BenchmarkSuite/string-scan/go-6                       	  177964	      6730 ns/op	   12288 B/op	       1 allocs/op
BenchmarkSuite/string-scan/apogee-6                   	     788	   1511474 ns/op	       3 B/op	       0 allocs/op
BenchmarkSuite/string-scan/apogee-6                   	     792	   1511944 ns/op	       3 B/op	       0 allocs/op
BenchmarkSuite/string-scan/apogee-6                   	     790	   1515324 ns/op	       3 B/op	       0 allocs/op
BenchmarkSuite/string-scan/apogee-6                   	     793	   1516310 ns/op	       3 B/op	       0 allocs/op
BenchmarkSuite/string-scan/apogee-6                   	     789	   1517648 ns/op	       3 B/op	       0 allocs/op
BenchmarkSuite/string-scan/apogee-6                   	     789	   1515403 ns/op	       3 B/op	       0 allocs/op
BenchmarkSuite/string-scan/apogee-jit-6               	    2041	    585722 ns/op	      53 B/op	       0 allocs/op
BenchmarkSuite/string-scan/apogee-jit-6               	    2046	    584586 ns/op	      53 B/op	       0 allocs/op
BenchmarkSuite/string-scan/apogee-jit-6               	    2041	    585647 ns/op	      53 B/op	       0 allocs/op
BenchmarkSuite/string-scan/apogee-jit-6               	    2042	    585856 ns/op	      53 B/op	       0 allocs/op
BenchmarkSuite/string-scan/apogee-jit-6               	    2042	    585699 ns/op	      53 B/op	       0 allocs/op
